standid,longitude,latitude,main_species,vol_m3_per_ha,age_years,size_in_ha
26480500,22.1362,61.8299,pine,76,102,1.6
26668500,22.0815,61.8418,pine,116,55,0.7
26480000,22.2296,61.8314,pine,179,72,0.9
18054000,21.9287,61.9813,pine,134,50,1.4
17945500,21.8704,61.9631,pine,115,33,2.2
4528000,21.8766,61.9377,pine,45,17,3.8
17945000,21.8671,61.9797,spruce,220,62,3.0
17795500,21.8093,61.9481,spruce,187,61,2.1
13817500,21.7098,61.9525,spruce,235,85,0.8
13813000,21.7100,61.9311,pine,136,50,0.7
18054500,21.9159,61.9660,pine,104,35,1.2
17587500,21.8672,61.9102,spruce,265,61,3.5
17442500,21.8819,61.8924,pine,226,63,0.9
15167000,21.9584,61.8736,spruce,293,85,0.9
26670000,21.9991,61.8791,pine,171,57,0.7
15546000,21.9455,61.8988,pine,160,70,4.5
26671000,21.9804,61.8992,pine,228,47,1.4
16868500,21.9696,61.8951,pine,240,73,0.9
17443000,21.8775,61.8678,pine,147,41,1.6
15163000,21.9646,61.8485,spruce,199,88,2.3
17959000,21.8944,61.8304,pine,167,49,1.4
17953000,21.8943,61.8365,pine,109,63,0.7
13817000,21.6343,61.9534,pine,109,42,1.0
13934000,21.5320,61.9401,pine,127,47,0.7
14061500,21.5850,61.9103,spruce,303,86,0.7
13809000,21.6238,61.8885,pine,164,78,1.1
13666000,21.6300,61.8027,spruce,316,88,1.1
13659000,21.6374,61.8191,spruce,244,81,2.2
13666500,21.6049,61.8102,spruce,66,31,0.8
13906000,21.6184,61.8969,pine,158,48,0.6
14063000,21.6045,61.8892,pine,172,84,1.6
14058000,21.5751,61.8862,pine,232,92,2.1
13900500,21.5670,61.8925,pine,100,75,0.6
14290000,21.5804,61.8519,spruce,324,81,1.0
13657000,21.5733,61.7942,pine,171,36,0.7
13644500,21.5486,61.7764,spruce,71,20,1.1
13660000,21.5837,61.8216,pine,25,14,3.3
13661000,21.5395,61.8183,spruce,132,49,1.8
14057000,21.5343,61.8976,pine,150,65,0.9
14055500,21.4834,61.9029,spruce,176,57,3.1
13396000,21.4702,61.7928,spruce,53,23,0.8
26741000,22.4709,61.7182,pine,98,54,0.6
10729000,22.4332,61.6967,spruce,162,59,0.7
10729500,22.4188,61.6965,spruce,229,88,1.2
10718500,22.3443,61.7090,spruce,197,75,2.0
26748000,22.2962,61.7903,pine,141,49,3.1
26827000,22.2592,61.7465,pine,55,51,1.3
26616000,22.2683,61.7967,pine,254,63,0.6
26829000,22.2066,61.6906,spruce,129,51,1.1
27498500,22.1843,61.6900,spruce,298,61,4.3
27602000,22.1154,61.7589,spruce,177,38,0.6
13813500,21.6736,61.9189,spruce,124,28,2.2
17796000,21.7990,61.9233,pine,81,49,0.5
13809500,21.6643,61.8790,pine,159,89,0.8
4521500,21.8022,61.8685,spruce,46,32,1.1
18093500,21.7124,61.8633,pine,181,75,1.3
17450500,21.8066,61.8577,other,164,41,0.9
18094500,21.7044,61.8369,spruce,73,49,0.6
14222000,21.6586,61.8649,spruce,212,89,1.0
15746500,21.8519,61.8098,pine,27,19,1.2
15790000,21.8187,61.8142,birch,73,34,0.6
17941000,21.7028,61.7980,pine,182,84,1.7
13644000,21.6836,61.7849,pine,156,72,0.6
13634000,21.6586,61.7426,spruce,112,89,0.6
10358500,22.5823,61.6592,spruce,185,70,0.9
10934000,22.5601,61.6592,other,163,42,0.8
26739500,22.4944,61.7372,spruce,105,34,0.5
10614500,22.4867,61.5992,spruce,271,64,1.3
10731000,22.4616,61.6951,spruce,286,88,1.9
10738500,22.4466,61.6837,spruce,238,89,0.5
27499500,22.4700,61.7705,spruce,106,48,1.0
26746500,22.4124,61.7436,spruce,66,37,1.2
26738500,22.4529,61.7266,spruce,232,70,0.8
10550000,22.4391,61.6315,other,135,79,0.8
10412000,22.3831,61.6273,pine,184,55,4.0
26745000,22.3317,61.7639,pine,260,60,1.0
26827500,22.2866,61.7301,pine,178,75,2.1
11410000,22.3348,61.6988,spruce,223,46,1.0
11420000,22.3572,61.6589,spruce,260,71,1.3
14099500,22.3747,61.6789,spruce,289,78,0.8
14099000,22.3189,61.6398,spruce,257,61,0.8
26828500,22.2273,61.7342,pine,48,20,1.1
11402000,22.2519,61.6797,pine,127,63,1.3
28247000,22.2473,61.7295,spruce,218,63,0.8
27495500,22.1687,61.7555,pine,60,33,0.7
27497000,22.1329,61.6848,pine,136,80,1.4
27497500,22.1094,61.7057,spruce,289,55,1.7
26615500,22.0624,61.8270,other,165,41,5.0
15153000,22.0399,61.8150,pine,69,118,1.1
27304500,22.0865,61.6836,spruce,175,65,2.2
27495000,22.0581,61.6980,spruce,177,49,0.6
27494500,22.0568,61.7173,spruce,296,69,1.0
18065500,22.0145,61.7885,other,86,34,1.5
